session 1, vis = '1', n_trials = 14
session 43, vis = '3', n_trials = 12
session 44, vis = '1', n_trials = 11
session 44, vis = '2', n_trials = 8
session 44, vis = '3', n_trials = 10
session 45, vis = '1', n_trials = 12
session 45, vis = '2', n_trials = 7
session 45, vis = '3', n_trials = 12
session 46, vis = '1', n_trials = 11
session 46, vis = '2', n_trials = 6
session 46, vis = '3', n_trials = 10
session 47, vis = '1', n_trials = 15
session 47, vis = '2', n_trials = 7
session 47, vis = '3', n_trials = 9
session 48, vis = '1', n_trials = 13
session 48, vis = '2', n_trials = 5
session 48, vis = '3', n_trials = 13
session 49, vis = '1', n_trials = 12
session 49, vis = '2', n_trials = 7
session 49, vis = '3', n_trials = 10
session 50, vis = '1', n_trials = 13
session 50, vis = '2', n_trials = 3
session 50, vis = '3', n_trials = 10
session 51, vis = '1', n_trials = 9
session 51, vis = '2', n_trials = 6
session 51, vis = '3', n_trials = 15
session 52, vis = '1', n_trials = 10
session 52, vis = '2', n_trials = 5
session 52, vis = '3', n_trials = 7
session 53, vis = '1', n_trials = 13
session 53, vis = '2', n_trials = 6
session 53, vis = '3', n_trials = 9
session 54, vis = '1', n_trials = 14
session 54, vis = '2', n_trials = 4
session 54, vis = '3', n_trials = 12
session 55, vis = '1', n_trials = 13
session 55, vis = '2', n_trials = 3
session 55, vis = '3', n_trials = 13
session 56, vis = '1', n_trials = 15
session 56, vis = '2', n_trials = 3
session 56, vis = '3', n_trials = 11

vis = 1.0,mean frames = 2.00000
vis = 1.0,prob(press 1) = 0.5226, p(press 2) = 0.4774

vis = 2.0,mean frames = 3.00000
vis = 2.0,prob(press 1) = 0.6198, p(press 2) = 0.3802

vis = 3.0,mean frames = 4.00000
vis = 3.0,prob(press 1) = 0.4130, p(press 2) = 0.5870
vis = '1',N = 648,mean frames = 2.05 +/- 1.22
p(correct) = 0.5478
RT = 0.485 +/- 0.249
vis = '2',N = 415,mean frames = 3.24 +/- 1.40
p(correct) = 0.7687
RT = 0.551 +/- 0.291
vis = '3',N = 452,mean frames = 4.14 +/- 1.71
p(correct) = 0.9513
RT = 0.425 +/- 0.253
